710105|020202|000004|2021-06-17|2021-06-25|ognjen|rezervisano|2020-12-25 17:11:55.275526|4.4|400
273673|010101|000005|2021-05-09|2021-05-20|mirko|rezervisano|2020-12-25 17:14:50.944873|4.7|350
979394|040404|000004|2021-04-11|2021-04-17|ognjen|rezervisano|2020-12-26 10:09:51.405337|4.5|370
794148|020202|000003|2019-07-05|2019-07-10|ognjen|istekla|2020-12-26 11:12:56.600704|4.4|250
581488|040404|000004|2020-12-05|2021-01-25|ognjen|istekla|2020-12-26 11:16:37.898256|4.5|2000
630004|040404|000003|2021-05-06|2021-05-09|ognjen|rezervisano|2020-12-28 11:43:33.081767|4.5|500
878089|020202|000003|2021-05-04|2021-05-15|ognjen|rezervisano|2020-12-28 12:39:50.407857|4.4|200
383487|020202|000003|2021-06-05|2021-05-10|mirko|rezervisano|2020-12-28 12:43:16.197646|4.4|300
774017|020202|000003|2021-05-06|2021-07-15|mirko|rezervisano|2020-12-28 12:53:50.608805|4.4|1000
823589|050505|100003|2022-05-10|2022-05-17|ognjen|rezervisano|2021-01-06 07:19:21.555540|3.85|280
630007|040404|000001|2021-05-06|2021-05-09|ognjen|rezervisano|2020-12-28 11:43:33.081767|4.5|500
630059|040404|000001|2021-05-01|2021-05-06|ognjen|rezervisano|2020-12-28 11:43:33.081767|4.5|500
692917|030303|100005|2021-06-08|2021-06-13|ognjen|rezervisano|2021-01-08 01:16:39.496430|3.9|250
951236|020202|100001|2021-11-20|2021-11-25|milovan|rezervisano|2021-01-09 00:19:46.013677|4.4|75
115139|020202|100001|2021-11-08|2021-11-14|milovan|rezervisano|2021-01-09 00:26:17.030812|4.4|90
555973|020202|100004|2021-05-20|2021-05-25|ognjen|rezervisano|2021-01-11 09:22:22.503034|4.4|175
321720|020202|100001|2021-05-10|2021-05-10|ognjen|rezervisano|2021-01-24 23:35:39.517060|4.4|0252665
