010101|100001|2|30|apartman|da|da
010101|100002|2|25|soba|da|ne
010101|100003|3|30|soba|da|ne
010101|100004|4|35|soba|da|ne
010101|100005|4|40|apartman|da|da
020202|100001|2|15|soba|da|ne
020202|100002|2|15|soba|da|ne
020202|100003|3|25|soba|da|ne
020202|100004|4|35|apartman|da|da
020202|100005|2|50|apartman|da|da
030303|100001|2|20|soba|da|ne
030303|100002|2|20|soba|da|ne
030303|100003|2|30|apartman|da|da
030303|100004|3|35|apartman|da|da
030303|100005|4|50|apartman|da|da
040404|100001|2|30|soba|da|ne
040404|100002|2|35|soba|da|ne
040404|100003|2|35|soba|da|ne
040404|100004|3|40|apartman|da|da
040404|100005|4|30|apartman|da|da
050505|100001|2|32|soba|da|ne
050505|100002|2|32|soba|da|ne
050505|100003|3|40|apartman|da|da
050505|100004|3|45|apartman|da|da
050505|100005|4|65|apartman|da|da
503537|100006|4|50|soba|da|ne
291776|100007|4|100|apartman|da|da
030303|100008|4|50|apartman|da|da
030303|100009|4|45|soba|da|ne
