010101|000001|2|30|apartman|da|da
010101|000002|2|25|soba|da|ne
010101|000003|3|30|soba|da|ne
010101|000004|4|35|soba|da|ne
010101|000005|4|40|apartman|da|da
020202|000001|2|15|soba|da|ne
020202|000002|2|15|soba|da|ne
020202|000003|3|25|soba|da|ne
020202|000004|4|35|apartman|da|da
020202|000005|2|50|apartman|da|da
030303|000001|2|20|soba|da|ne
030303|000002|2|20|soba|da|ne
030303|000003|2|30|apartman|da|da
030303|000004|3|35|apartman|da|da
030303|000005|4|50|apartman|da|da
040404|000001|2|30|soba|da|ne
040404|000002|2|35|soba|da|ne
040404|000003|2|35|soba|da|ne
040404|000004|3|40|apartman|da|da
040404|000005|4|30|apartman|da|da
050505|000001|2|32|soba|da|ne
050505|000002|2|32|soba|da|ne
050505|000003|3|40|apartman|da|da
050505|000004|3|45|apartman|da|da
050505|000005|4|65|apartman|da|da
